x1,y1,x2,y2
143.393,450.160,546.118,357.383
143.280,450.394,545.868,357.481
151.098,450.182,546.466,357.225
157.480,453.359,553.283,352.818
158.554,454.020,564.983,347.421
156.369,454.801,573.352,342.141
155.160,454.835,581.223,337.215
151.341,454.750,588.189,332.492
152.303,452.532,596.095,327.546
156.828,449.864,603.508,322.704
161.080,448.543,609.738,318.798
150.119,444.453,615.170,315.556
151.241,441.701,622.929,310.453
157.727,441.197,634.310,302.869
157.701,438.937,637.231,301.932
161.040,439.206,642.151,298.724
163.508,438.757,648.030,295.297
156.175,429.648,655.180,289.354
157.069,422.007,659.813,286.504
156.697,414.215,665.711,283.351
155.480,407.260,670.718,280.626
147.359,398.396,675.357,277.884
137.321,387.834,682.362,274.066
131.437,378.439,689.220,270.211
128.778,370.676,695.956,265.392
128.385,364.316,700.291,262.850
116.307,345.644,705.106,259.932
112.193,333.422,707.100,258.483
109.128,322.076,711.455,255.854
106.726,311.294,718.441,252.249
107.006,305.861,726.016,248.604
100.913,287.129,730.700,246.279
101.384,280.028,734.275,244.430
99.119,262.107,738.479,242.137
100.600,250.410,742.594,240.017
100.879,238.468,746.260,238.045
101.619,228.873,750.579,236.472
102.225,222.346,755.261,233.949
103.176,215.597,758.797,232.306
103.331,196.428,763.311,230.394
103.864,190.706,771.629,227.825
104.880,196.825,779.343,224.789
105.087,185.463,783.549,223.257
105.463,181.558,790.496,221.257
105.712,177.200,809.961,215.974
105.971,174.755,820.502,215.006
106.290,171.981,828.628,214.359
106.681,169.572,837.249,214.155
nan,nan,845.044,213.753
nan,nan,854.628,213.265
nan,nan,861.909,212.922
nan,nan,869.835,212.450
nan,nan,876.809,212.001
nan,nan,883.197,211.663
108.587,138.316,892.120,211.612
112.175,158.059,898.894,211.371
nan,nan,907.702,211.287
nan,nan,915.897,211.010
134.309,121.407,922.040,210.804
149.651,124.881,932.506,210.559
166.938,125.508,938.764,210.244
175.641,122.934,946.643,210.238
177.730,120.818,954.511,210.039
182.984,118.569,961.643,210.249
186.502,116.733,967.706,210.470
190.553,115.989,973.459,210.454
195.112,114.869,979.493,210.494
197.659,112.357,984.727,210.587
184.876,110.089,989.998,210.705
175.570,107.248,995.838,210.757
178.020,107.323,1001.550,210.719
174.399,107.796,1006.922,210.997
177.889,110.011,1011.873,211.017
181.306,110.351,1017.024,210.933
nan,nan,1021.600,210.957
171.513,128.133,1026.295,211.177
156.749,154.014,1030.809,211.222
159.173,157.478,1035.810,211.603
162.410,159.991,1039.064,211.863
180.828,141.277,1043.391,211.892
187.169,140.201,1047.406,211.980
173.197,163.823,1052.159,212.211
173.155,168.898,1055.611,212.840
nan,nan,1061.057,213.593
nan,nan,1071.231,214.916
nan,nan,1079.104,221.767
nan,nan,1077.282,217.477
147.862,225.177,1078.048,220.480
nan,nan,1083.595,219.793
nan,nan,1078.807,213.662
nan,nan,1078.548,217.393
nan,nan,1077.874,223.450
nan,nan,1065.109,251.804
nan,nan,1059.209,255.211
nan,nan,1053.605,258.560
nan,nan,1046.859,262.933
nan,nan,1040.010,267.372
138.349,303.179,1031.975,272.537
142.394,308.969,1024.651,277.423
154.054,297.658,1016.741,282.561
154.274,305.341,1010.903,286.433
147.865,326.140,1006.234,289.588
148.003,332.995,999.838,294.085
nan,nan,995.715,296.774
nan,nan,988.963,301.308
nan,nan,982.211,305.553
153.043,346.610,976.675,309.182
155.119,348.638,970.628,313.091
156.159,351.097,954.546,323.466
157.469,352.742,949.289,326.490
158.297,354.336,944.090,329.405
159.160,356.283,939.325,331.936
160.158,358.110,934.102,334.831
160.824,359.750,929.353,337.372
150.428,380.065,924.905,339.713
151.274,381.369,920.098,342.060
161.905,365.299,914.309,345.110
162.338,366.840,909.835,347.262
163.826,366.948,904.324,349.304
164.562,367.592,895.153,352.676
164.660,368.662,885.666,357.579
165.104,369.765,881.788,359.335
155.977,387.291,873.041,364.087
156.564,388.006,856.801,367.578
157.027,388.561,842.643,369.180
157.538,388.974,828.073,369.992
157.336,390.445,812.942,370.739
157.331,391.174,799.160,370.961
157.352,392.149,785.218,371.298
156.159,394.672,774.222,371.742
154.516,398.852,762.065,372.157
154.084,407.164,752.197,372.538
154.844,415.678,745.817,373.014
155.325,425.457,737.893,373.495
156.392,431.919,726.953,374.451
157.499,436.852,716.614,374.660
159.459,440.897,701.732,374.497
160.518,446.376,692.863,374.838
162.162,450.099,683.518,374.706
162.991,453.352,674.884,374.791
164.224,456.049,666.701,374.735
162.841,465.359,656.864,374.612
165.131,464.693,648.750,374.411
165.601,468.866,641.317,374.847
166.253,470.800,633.037,374.769
166.156,473.794,626.773,374.726
166.905,475.970,619.786,374.904
167.344,478.258,612.891,375.074
166.539,482.274,605.115,375.929
167.144,484.402,597.637,377.642
167.846,485.989,588.622,377.695
169.348,488.315,583.527,376.042
169.354,490.375,580.326,376.022
169.537,492.405,573.734,376.366
168.709,496.069,563.871,376.934
169.013,497.431,558.826,377.154
169.262,499.223,552.257,377.147
169.218,501.269,549.121,376.855
169.342,502.799,544.439,374.856
169.155,504.826,540.244,375.043
167.231,507.898,528.033,374.888
167.342,509.333,517.769,373.957
167.008,511.127,497.640,371.065
167.252,512.255,492.662,368.820
166.771,514.242,482.767,365.485
166.602,516.480,474.143,362.376
166.642,517.452,463.934,358.810
166.706,518.989,455.040,355.113
166.117,521.065,445.991,351.138
167.154,521.930,437.677,347.493
167.487,522.466,429.840,343.811
170.448,519.975,424.979,339.095
170.776,530.418,419.632,337.128
162.116,553.476,412.775,334.994
169.656,543.550,405.223,332.533
157.310,543.995,397.118,329.329
147.256,535.466,389.357,325.812
141.203,524.608,383.191,322.803
131.627,508.496,375.687,320.559
132.630,500.985,367.681,316.929
129.740,488.014,360.288,314.104
129.438,477.580,347.303,307.965
128.149,465.255,341.916,306.537
128.295,455.366,337.315,304.969
129.911,450.002,334.775,304.572
129.823,442.057,330.216,303.171
129.843,433.400,325.839,301.478
129.239,423.121,320.879,300.349
126.584,405.815,316.084,298.687
127.051,400.289,312.172,297.709
127.773,396.272,308.207,296.295
127.800,391.160,303.135,294.885
127.720,384.836,296.525,292.884
127.766,379.488,290.133,288.865
128.686,375.630,284.053,283.856
129.211,365.176,281.621,284.994
129.357,360.578,273.346,282.715
119.364,326.389,268.286,281.450
116.828,306.775,260.377,277.461
115.527,290.865,255.796,270.805
114.501,277.322,248.162,258.585
112.997,264.284,248.472,257.776
110.868,240.159,247.223,253.546
109.906,232.705,247.502,246.315
108.529,219.457,246.844,242.344
